Date,Wind speed,Generator speed,Blade angle,Wind direction,Ambient temperature,Active power
7/4/2020,8.636874306,16.04803542,2.575579861,-500.5211493,31.25492222,853.815359
7/5/2020,11.49417292,16.67039306,8.220569444,-455.6083354,30.83292083,1199.968774
7/6/2020,4.36878125,9.253738194,12.55546042,-120.1743576,30.16867222,210.8058236
7/7/2020,6.64515,13.74121528,1.9530125,-136.4548736,30.67383681,494.0740167
7/8/2020,7.34845625,15.15970833,1.332736111,-144.9863493,30.65035486,633.7763958
7/9/2020,7.461095139,15.66088056,1.342963194,-130.9647514,29.91272708,638.9808111
7/10/2020,4.9253625,11.14435694,1.545940972,-140.0236896,31.35108264,216.7824215
7/11/2020,7.610814583,15.05853958,0.746585417,-136.099475,30.77404375,680.2392424
7/12/2020,8.222002778,15.41347014,1.571179167,-139.2265785,30.86903958,780.3853389
7/13/2020,5.638519444,12.23498125,0.810207639,-145.3789403,31.53400278,332.3918507
7/14/2020,4.063556944,8.880018056,7.0370625,-96.00304097,29.91205208,123.7883451
7/15/2020,3.999011111,8.499690972,8.293228472,-159.3957757,30.9702375,112.9939069
7/16/2020,6.069195139,13.11733125,1.244890278,-120.4088424,28.51465486,424.7714493
7/17/2020,5.158216667,11.24056528,4.243124306,-117.4424021,30.39453056,269.2061813
7/18/2020,7.134622917,14.96016667,1.3768,-133.8647688,30.38496458,573.7373694
7/19/2020,9.22313125,16.92830625,2.662560417,-133.1015069,30.32839375,978.5168722
7/20/2020,8.780825,16.02458403,3.198660417,-135.7454188,30.28041528,862.1499049
7/21/2020,6.1789625,13.2882875,2.2674375,-153.6460396,30.19225347,455.1459257
7/22/2020,5.469399306,12.2921,1.629146528,-153.0629868,30.09612569,298.9640556
7/23/2020,5.147982639,11.43219792,1.377401389,-145.6226618,29.66262431,235.4370424
7/24/2020,5.755018056,12.23390556,5.047058333,-147.3168681,28.32898889,359.8938104
7/25/2020,6.609903472,14.08151875,5.073402083,-150.2948431,29.38763611,472.9944243
7/26/2020,9.114510417,16.33033194,3.791690972,-138.0065854,30.33978264,957.5329931
7/27/2020,9.39166875,16.51445347,3.314972222,-133.5764611,30.59681111,1019.380906
7/28/2020,9.213945139,17.00055764,2.27164375,-141.0529847,30.91354931,1011.685996
7/29/2020,10.75793194,16.98188472,6.504186806,-147.5865021,30.73320625,1165.757249
7/30/2020,13.27027778,17.29520556,10.90017778,-145.1637299,30.57314861,1302.817111
7/31/2020,12.5015,17.29494653,9.438233333,-144.9150028,30.34269167,1303.148222
8/1/2020,12.69381042,17.29028403,9.342402083,-138.6761958,30.37896528,1275.254713
8/2/2020,10.67323611,17.24869306,5.327988194,-139.7386861,30.79979583,1146.20513
8/3/2020,8.282382639,16.31339375,2.072709028,-138.9896035,30.90518056,801.9067139
8/4/2020,7.714658333,15.48215069,1.273302083,-164.0455368,29.52220556,686.1638007
8/5/2020,8.045877778,16.14467431,1.570104861,-148.6764049,29.63575903,794.7419667
8/6/2020,8.735803472,16.67867639,1.752074306,-140.8031653,30.50675903,927.0800937
8/7/2020,9.123911111,17.00315903,2.574385417,-136.0811604,30.73454306,1009.242342
8/8/2020,7.895617361,16.32310208,1.458636806,-136.3653299,30.16397222,729.8554736
8/9/2020,9.1862625,17.19192083,1.741267361,-137.1629049,30.54573333,1037.990415
8/10/2020,8.793988194,16.84118889,2.001102083,-136.4554813,30.27697639,931.5212847
8/11/2020,8.38878125,16.52508125,1.831378472,-138.0388097,30.02229306,837.2869271
8/12/2020,7.959610417,15.94895347,0.627065972,-130.4580806,29.72824861,725.1766521
8/13/2020,8.81570625,16.72293681,1.742745139,-137.8769382,30.40114722,939.986634
8/14/2020,6.932980556,14.80760139,1.276689583,-145.7086924,30.78160208,536.1761222
8/15/2020,7.360186806,15.32194097,2.00085,-137.0527097,30.50308681,592.6971479
8/16/2020,7.774561111,15.79810347,0.689334722,-139.6571028,30.93228194,689.6458639
8/17/2020,7.441363194,15.09434514,1.301906944,-128.4463507,30.73670278,581.1783542
8/18/2020,7.977022222,15.79534792,1.077694444,-132.2200104,31.15052778,739.674959
8/19/2020,6.412021528,13.58352847,1.231817361,-146.003841,30.58143194,426.743059
8/20/2020,6.681225694,14.01184792,1.282024306,-135.5848236,31.07006111,440.9896778
8/21/2020,7.207384722,14.41150139,1.336861111,-140.9030757,30.57785972,573.3550694
8/22/2020,7.648388889,14.95173333,2.353835417,-131.2065813,30.35204375,661.510016
8/23/2020,7.476667361,15.24924583,1.519006944,-142.0344382,30.95184861,615.9514007
8/24/2020,8.544013194,16.71047361,1.625098611,-143.7748028,30.86744167,865.7145722
8/25/2020,7.297849306,14.79262569,1.69290625,-149.3565292,31.04445208,587.9911403
8/26/2020,5.123444444,10.90654583,2.071290972,-477.4371625,30.88953611,255.3689771
8/27/2020,5.380438194,11.67740347,0.63049375,-527.2731319,28.85405556,283.6409396
8/28/2020,6.442077083,13.47443889,1.416480556,-501.1332097,28.89012778,461.4167847
8/29/2020,7.152794444,14.9105625,1.382575,-491.5283472,30.46626667,583.6140118
8/30/2020,7.189953472,15.21688194,1.258056944,-498.0683639,30.29155833,577.6827882
8/31/2020,8.050644444,16.08004653,1.864029167,-500.0184188,30.2958875,756.2401125
9/1/2020,9.873972917,16.97330625,4.018815278,-506.232491,30.38957708,1088.940606
